id,popularity,budget,revenue,original_title,cast,director,runtime,genres,production_companies,vote_count,release_year,profit
9738.0,2.368513,111656329.0,369113178.5,Fantastic Four,Ioan Gruffudd|Jessica Alba|Chris Evans|Michael Chiklis|Julian McMahon,Tim Story,106.0,['Drama Crime'],Twentieth Century Fox Film Corporation|1492 Pictures|Constantin Film Produktion|Marvel Enterprises|Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 3 KG,1715.0,2005.0,-20355892.0
561.0,2.26533,111656329.0,257286597.1,Constantine,Keanu Reeves|Rachel Weisz|Shia LaBeouf|Djimon Hounsou|Max Baker,Francis Lawrence,121.0,['Drama Fantasy'],Village Roadshow Pictures|DC Comics|Lonely Film Productions GmbH & Co. KG.|Donners' Company|Branded Entertainment/Batfilm Productions,1049.0,2005.0,55197635.0
9522.0,2.248624,44662531.59,318417880.1,Wedding Crashers,Owen Wilson|Vince Vaughn|Christopher Walken|Rachel McAdams|Isla Fisher,David Dobkin,119.0,['Action Thriller'],New Line Cinema|Tapestry Films|Avery Pix,795.0,2005.0,-10000000.0
8202.0,2.220063,69226923.96,58400727.42,̠on Flux,Charlize Theron|Marton Csokas|Jonny Lee Miller|Sophie Okonedo|Caroline Chikezie,Karyn Kusama,93.0,['Drama Horror Mystery Thriller'],Paramount Pictures|Lakeshore Entertainment|MTV Films|Colossal Pictures|Valhalla Motion Pictures,408.0,2005.0,-5170043.0
10022.0,2.07205,62527544.22,126179333.7,The Pacifier,Vin Diesel|Lauren Graham|Faith Ford|Chris Potter|Brittany Snow,Adam Shankman,95.0,['Crime Drama Action Thriller Science Fiction'],Walt Disney Pictures|Spyglass Entertainment,493.0,2005.0,-29033000.0
74.0,1.844731,147386354.2,660714467.6,War of the Worlds,Tom Cruise|Dakota Fanning|Miranda Otto|Justin Chatwin|Tim Robbins,Steven Spielberg,116.0,['Crime Drama History'],Paramount Pictures|DreamWorks SKG|Cruise/Wagner Productions|Amblin Entertainment,1238.0,2005.0,-9521200.0
1904.0,1.813128,94907879.62,181154535.4,Memoirs of a Geisha,Zhang Ziyi|Gong Li|Youki Kudoh|Tsai Chin|Suzuka Ohgo,Rob Marshall,145.0,['Action Adventure Foreign Thriller'],DreamWorks SKG|Spyglass Entertainment|Columbia Pictures Corporation|Red Wagon Productions,409.0,2005.0,-4500000.0
6957.0,1.78595,29030645.53,122207000.1,The 40 Year Old Virgin,Steve Carell|Catherine Keener|Paul Rudd|Romany Malco|Seth Rogen,Judd Apatow,116.0,['Comedy'],Universal Pictures|Apatow Productions,1236.0,2005.0,28050886.0
9982.0,1.766397,167484493.4,351083970.8,Chicken Little,Zach Braff|Garry Marshall|Don Knotts|Patrick Stewart|Amy Sedaris,Mark Dindal,81.0,['Horror Mystery Thriller'],Walt Disney Pictures|Walt Disney Feature Animation,542.0,2005.0,0.0
8488.0,1.72647,78159430.28,411007415.9,Hitch,Will Smith|Eva Mendes|Kevin James|Amber Valletta|Julie Ann Emery,Andy Tennant,118.0,['Comedy Romance'],Columbia Pictures Corporation|Overbrook Entertainment,1010.0,2005.0,88335.0
9335.0,1.699822,35730025.27,95095059.17,Transporter 2,Jason Statham|Amber Valletta|Kate Nauta|Alessandro Gassman|Fran̤ois Berl̩and,Louis Leterrier,87.0,['Drama'],Canal Plus|Twentieth Century Fox Film Corporation|Current Entertainment|TF 1 Film Productions|TPS Star,677.0,2005.0,-6617054.0
11283.0,1.610259,27914082.24,136767638.6,Nanny McPhee,Emma Thompson|Colin Firth|Kelly Macdonald|Thomas Brodie-Sangster|Eliza Bennett,Kirk Jones,97.0,['Drama Thriller Crime'],Universal Pictures|Three Strange Angels|Studio Canal|Metro-Goldwyn-Mayer (MGM)|Working Title Films,355.0,2005.0,-4000000.0
1495.0,1.592578,145153227.7,236312980.7,Kingdom of Heaven,Orlando Bloom|Eva Green|Jeremy Irons|Marton Csokas|Brendan Gleeson,Ridley Scott,144.0,['Family Comedy'],Studio Babelsberg|Twentieth Century Fox Film Corporation|Scott Free Productions|Kanzaman|Dune Films,677.0,2005.0,33761844.0
